Gene,logFC,pVal,pAdj,sdSF,sdGC
CCM2,-0.052881705,0.762570174,0.91093013,104.3059,101.5218
TBRG4,0.449749629,0.245133306,0.567740036,17.09672,12.79617
TMPRSS2,0.423900099,0.739534611,0.90149959,15.54023,15.0474
MX1,0.773715407,0.402342289,0.710653867,14.43976,12.13884
NDUFA9,-0.053141611,0.821972749,0.93503343,141.9105,137.3926
LCK,0.472223544,0.007993437,0.07739842,1854.499,1060.123
CTTNBP2,-1.482486517,0.352436724,0.671731159,9.221851,14.56459
GALNT1,-0.035170474,0.843082182,0.942930733,85.69327,94.85841
MKRN2,-0.322217669,0.23055615,0.550897292,90.5123,72.37237
PPARG,0.074455044,0.908334266,0.966361743,99.48923,97.07846
RAF1,0.010253055,0.952611911,0.985857934,93.06347,53.13235
SEPTIN1|GM4532,-0.23629758,0.100794768,0.366413673,150.643,196.9873
PDGFB,0.265598455,0.687015462,0.877445231,23.06723,19.06831
ACVRL1,0.635838409,0.283911123,0.606360802,38.3653,17.01437
TAMALIN,0.302586497,0.682924022,0.877052624,14.757776,3.172102
ACVR1B,-0.108953615,0.789959651,0.922395276,15.16338,11.94385
TOM1L2,-0.154139992,0.651360952,0.859677858,38.5699,24.16748
ZFP385A,0.160102635,0.774348023,0.916215895,13.9977,12.90399
ITGA5,0.431460542,0.474198405,0.761115714,42.01279,14.48969
WDR77,-0.167758043,0.595952455,0.831315592,50.36941,34.25784
ATP5PB,-0.072228917,0.667991169,0.86816118,498.0994,488.0305
SOX9,0.529907891,0.10550257,0.375848405,56.65235,29.39243
HNRNPD,-0.476216588,0.016112852,0.12222816,57.53939,94.89641
DYNLT1C,-0.153122799,0.765018206,0.912253622,30.28726,30.60814
C1D,-0.100553177,0.511724197,0.784525772,94.83439,96.40454
GM2A,0.062035351,0.792311438,0.923282241,163.2648,157.7928
KRIT1,0.786690748,9.78852E-05,0.003028832,254.9814,149.8315
CLCN4,0.0971247,0.637923329,0.853453436,117.66703,89.07666
GRM6,0.005263855,0.997653833,0.999377227,6.988266,10.14271
HK2,-0.034441373,0.964593958,0.989260183,139.0564,163.2742
MYO18A,-0.207072191,0.400394691,0.708839855,62.50945,46.90225
HAAO,-0.316602402,0.801479823,0.92645032,7.81889,6.954596
CD52,0.286803397,0.083017547,0.327821145,564.7583,519.6326
ABHD15,-0.712870247,0.216209242,0.534025571,13.27477,17.38471
KAT2B,0.710350526,0.003249118,0.041191448,224.131,42.03986
RAB5B,0.111996654,0.705999998,0.887075031,58.22989,39.53498
AIRE,0.136575898,0.862026086,0.948781645,5.217587,7.183568
ICOSL,0.180861618,0.800419621,0.926113657,8.101396,6.964884
SPG7,-0.197878755,0.419917012,0.723474363,59.23555,56.65813
SULT5A1,0.625619271,0.389553824,0.700424402,16.17495,12.04876
RPL13,-0.960397658,6.87837E-06,0.00032052,780.5232,1887.2187
CHMP1A,0.081645689,0.701267174,0.884885379,42.53229,31.50074
RPA1,-1.198272317,0.000361996,0.008131664,50.08147,72.91805
SERPINF1,-0.298308869,0.616190553,0.841417712,29.34703,28.62487
TUBGCP3,-0.173215256,0.360470587,0.677700286,46.85659,52.78246
POLR3D,-0.036633542,0.924760117,0.973637896,36.13703,22.41816
TCF7,-0.705566473,0.000207592,0.005471825,590.2391,1213.2841
DDX3X,0.199680465,0.157803376,0.459413808,196.0313,138.3221
IL12RB1,1.415168161,0.011509705,0.098594785,44.780909,9.081069
KCNN3,0.335794105,0.468629606,0.75689434,31.34436,14.14286
USP32,0.376752865,0.366752448,0.683763167,103.95166,74.67434
CAR4,0.558967238,0.348466801,0.669486342,26.00091,28.03463
TXNRD3,0.200751062,0.74669443,0.903885725,14.33293,12.4737
FASL,1.369056441,0.155722034,0.45572708,8.640548,2.816014
ZFP512B,-0.023993841,0.961879452,0.98809092,60.56417,27.43425
DNAJC5,0.239956803,0.174942549,0.482571439,150.0213,75.57457
TPD52L2,0.253239425,0.296469912,0.619238745,145.5581,58.2098
FMR1,0.047504278,0.832073596,0.938235157,114.5778,143.5882
BCL11A,0.923850777,0.019491443,0.138363508,56.95802,40.91972
PXMP4,-0.118517566,0.628398198,0.848248175,79.72619,71.45727
DLG3,-0.403287819,0.509691152,0.782990028,30.92244,37.57586
GNB1L,-1.046231592,0.088117073,0.339564118,22.47959,15.91317
MMP11,-1.437200262,0.084523427,0.331425821,7.040438,12.991615
SMARCB1,-0.518999639,0.049736841,0.24596643,55.5221,69.63608
VPREB3,1.495970025,0.248811576,0.57162771,12.151316,3.911452
HIP1R,0.785023525,0.097045988,0.358022865,42.83097,41.23358
NSUN5,0.238738315,0.555892424,0.810769229,34.21573,25.28597
TOP1MT,0.798019252,0.375201481,0.690718851,13.47452,3.71874
HOXA4,0.618524795,0.464670318,0.753903531,30.37709,17.43201
MMP14,0.825497876,0.004204493,0.049353634,59.45485,28.24283
SLC7A7,-0.310616142,0.616627124,0.84154474,15.29869,11.26626
OXA1L,0.023666737,0.940307286,0.980773512,43.04039,38.68287
HEATR6,-0.710507011,0.000324158,0.00752493,36.3468,64.95886
WFDC18,0.716242439,0.003871937,0.04668947,109.9415,212.1153
ICAM4,0.29500562,0.850435818,0.944881748,8.869151,5.231673
ILF2,-0.446315357,0.017334737,0.128691315,89.89459,49.50908
CHTOP,-0.40580047,0.054839273,0.260503187,85.52843,93.63075
SNAPIN,-0.015334574,0.952445738,0.985751119,40.92238,40.25203
S100A4,0.709311657,0.050198039,0.247462595,23.39038,23.7631
S100A6,0.63712882,0.016250824,0.122739582,134.64319,62.37912
ICAM2,-0.210508691,0.304790765,0.628239733,132.4567,123.6113
MAPK7,-0.298338879,0.572387726,0.818683714,33.05655,26.12081
EPN2,1.027412114,0.040775435,0.21942098,51.05795,17.06092
B9D1,0.158350294,0.789330041,0.92217125,25.32231,10.75291
SEC24B,0.932688634,0.000278382,0.006705573,107.00659,33.04067
N4BP3,-0.748593116,0.057487164,0.267549873,19.07429,14.0022
RMND5B,-0.777446168,0.019656509,0.139189837,31.92642,26.69943
NHP2,-0.314509415,0.097649345,0.35948643,94.834,116.0086
VPS9D1,0.664526616,0.149840255,0.447876719,27.89701,28.01849
ZFP276,0.3384716,0.368014295,0.684811008,21.57595,12.96837
MFSD10,0.129088317,0.750744574,0.905833096,42.82793,23.34779
LUZP1,0.098343843,0.813727171,0.931815473,99.91325,56.38693
KCTD10,0.100011447,0.706600207,0.887330722,60.14175,32.33079
POLDIP2,0.493206645,0.039389001,0.215641173,64.17091,41.24363
IFT20,-0.145737248,0.40497631,0.711799965,104.1645,162.1617
COL6A1,0.099630383,0.818995308,0.933804948,25.73267,21.92637
PCBP3,-0.98726732,0.166006471,0.470863702,6.905118,10.228237
LGALS9,-0.797411281,0.000127006,0.003730845,78.95894,233.35937
ARAF,0.218871429,0.29470443,0.617530416,61.19716,36.53879
CFP,0.855545653,0.00012105,0.003603182,103.15785,58.28725
TIMP1,0.728597178,0.349327565,0.670095939,15.59511,11.26787
UXT,-0.05303584,0.845605508,0.943465078,69.31815,31.77246
CNNM3,0.665411444,0.035924775,0.204620424,51.36241,25.12248
LMAN2L,0.21147114,0.265083391,0.587543976,80.4036,109.0716
MCM3AP,0.184747273,0.484349924,0.767462411,34.28479,62.80368
PCNT,-0.630363134,0.005283167,0.058874413,66.57615,97.1153
MXD1,-0.31078213,0.372211653,0.688571059,66.82943,65.09481
GMCL1,-0.231890343,0.280329068,0.603300263,70.54046,62.2099
SNRNP27,0.025264451,0.858194313,0.947254351,102.265,161.4192
OAS1C,0.251574924,0.760557184,0.909608256,10.54479,13.04765
OCRL,-0.135159138,0.823624795,0.935201495,18.36635,31.07899
CALM1,-0.299311564,0.062705497,0.281487263,1749.546,1914.23
AGPAT3,0.467983823,0.091624477,0.34701607,298.0192,160.9734
SEMA6B,0.377862571,0.637164811,0.852948824,14.947074,5.506331
UHRF1,-2.114993912,2.61801E-13,4.82238E-11,26.85834,170.66266
DPP9,-0.506942943,0.137421193,0.428862592,38.87463,18.61411
RAMP2,1.902065234,0.002238655,0.031806373,60.49627,12.04521
LSR,-0.03707542,0.94138542,0.981244359,18.98182,15.82657
GRAMD1A,0.769721996,9.43804E-05,0.002950799,63.17072,67.3246
HPN,-2.054980694,0.184575635,0.493606872,3.537988,10.386485
CKB,0.418509772,0.266707471,0.589724456,53.76818,37.77249
SP1,-0.32913995,0.21700941,0.535157715,72.08747,117.91751
ITGB7,0.806251556,0.015157961,0.117083468,42.22983,21.5799
MYG1,-0.675918165,0.047529624,0.239052784,54.46656,69.09651
RARG,-0.703288707,0.321611453,0.644829111,26.9231,18.37148
PFDN5,-0.187373396,0.250331082,0.572950437,285.8369,256.1904
EFNB2,0.546840094,0.227362854,0.548010161,42.14101,23.56267
RRP15,-0.667154527,0.079224808,0.319285154,18.87668,15.75619
RND2,-0.659780857,0.425118863,0.72847609,14.616822,5.416532
SRR,0.896257405,0.034461032,0.198878133,33.88501,23.91602
SYNC,-0.348070821,0.817381024,0.93329662,8.375093,9.03345
FNDC5,0.148744309,0.854534623,0.946078956,39.5044,22.26626
ACP5,0.407265287,0.008278736,0.079128968,88.30331,99.00032
CNN1,0.121275497,0.912149433,0.967867504,23.11527,21.33717
FBXO9,0.174389162,0.51341642,0.785474027,112.47663,72.21648
VPS50,0.162505862,0.628104758,0.848144561,27.16751,33.49347
HARS,-0.717831062,0.030969786,0.185854329,45.88374,64.77069
ZMAT2,-0.399516059,0.03335274,0.194956687,73.81082,66.66831
UBE2C,-3.273183936,9.95E-24,4.45E-21,38.2709,408.6466
SMG5,0.139876452,0.66274747,0.865825869,44.33198,41.90543
CCT3,-0.055684037,0.828213295,0.936675496,158.93413,87.73986
GLMP,-0.147617995,0.474250821,0.761115714,89.15191,51.35153
MEF2D,0.429179557,0.052451367,0.254329839,91.34861,67.15971
TMEM79,0.754135997,0.166246874,0.470863702,25.8392,13.83193
SND1,0.285340573,0.345718672,0.667402378,88.98313,40.01913
COL18A1,-0.081015191,0.877562769,0.955493761,19.41073,15.29309
SLC19A1,0.173254539,0.735843676,0.899453855,26.78521,12.45911
KPNB1,-0.409003261,0.051927057,0.252602357,87.30351,146.51515
NPEPPS,0.082972456,0.669568305,0.869077104,132.07568,91.94971
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845,40.14135
CYP51,-0.792586804,0.072473399,0.304565166,59.56564,46.19916
TCF25,-0.084185229,0.637398031,0.853115145,187.0081,220.5779
TUBB6,-0.300027475,0.428939356,0.730702141,30.29531,18.74286
DEF8,-0.766946807,0.096823319,0.357649671,17.17762,26.15116
MEOX1,-0.199540806,0.816777719,0.93329662,15.078778,6.628487
PAX9,0.245851927,0.565959178,0.815199895,34.04659,31.92194
COL1A1,0.276399009,0.657560353,0.862768997,44.77227,28.69965
ITGA3,0.428900254,0.491856419,0.773112602,28.24066,16.36996
FOXM1,-2.367660827,1.37727E-06,7.89889E-05,14.7008,33.01559
ITFG2,-1.24013701,0.001961396,0.028808234,21.96134,41.69805
TULP3,0.32902925,0.302230576,0.625526568,54.19967,15.06236
GTF2H4,-0.021848163,0.891356561,0.961114375,173.3015,119.1581
TUBB5,-1.334736789,3.84046E-10,4.66125E-08,289.9803,1373.7081
ELL2,1.316903729,0.000172076,0.004701896,79.23191,17.51473
JUP,-0.22219904,0.330398349,0.653238088,40.42917,57.69191
NOM1,0.539733271,0.030550618,0.183973471,51.52845,24.37067
ERGIC1,-0.316162187,0.403016103,0.710828334,51.62926,71.20403
ACAP1,0.151978963,0.46179844,0.752169418,92.221,58.18977
TCEA3,0.448780581,0.546933704,0.8056471,12.8605,15.82242
IFRD1,-0.412545022,0.061232776,0.277461219,45.3117,26.73244
STK38L,0.070713964,0.863914148,0.949741035,43.29294,25.13423
BRPF1,0.066765849,0.776313136,0.916784942,104.08672,28.93249
AKR1B3,-0.467809833,0.057097824,0.266641707,130.1153,122.6418
GSTT1,-0.392728276,0.480243607,0.764843266,34.58902,43.264
GSTT3,0.247449653,0.735036617,0.899221984,14.036776,7.652582
DDT,0.885024756,0.004257782,0.049823686,399.8887,134.9282
DDX18,-0.310811608,0.134393478,0.423721041,102.1936,107.2787
UBL3,0.368067329,0.022040026,0.15010034,121.43349,94.20377
GRAMD3,-0.390653286,0.265339989,0.587784498,23.44517,20.28436
EEF1E1,-0.264593894,0.207167969,0.525709706,39.09861,55.10504
AKT1,-0.602208686,0.007327204,0.073024846,62.3197,114.6767
CLDN15,0.335717547,0.679940971,0.875623933,27.9864,19.97888
IL16,-0.383929037,0.06085258,0.276405233,131.2492,167.2514
TCIRG1,-0.063549959,0.89014153,0.961114375,40.31103,36.1615
NAGLU,-0.061898358,0.925817279,0.974171784,17.06807,10.40312
COASY,-0.148361362,0.578400768,0.82155682,34.63964,25.25093
SMO,-0.129469737,0.693074745,0.880717351,55.37822,36.9891
TSPAN33,0.612006306,0.550523014,0.807643823,11.611055,6.832107
CRNKL1,-0.359192169,0.08926329,0.341768067,85.79925,68.91382
RIN2|BC039771,1.414834476,4.43305E-06,0.000217022,92.15902,22.55807
CHORDC1,-0.041898226,0.855024519,0.946312013,234.6426,190.5601
RTCB,-0.528777291,0.048031809,0.240972872,58.44977,52.46562
PWP1,0.118653914,0.763674807,0.911415234,44.77498,20.83021
FBXO7,0.628868386,0.052972202,0.255419189,98.39366,29.77023
CAPNS1,0.048937963,0.819672926,0.934237054,290.8908,185.2144
CLPB,-0.446874,0.16756922,0.47303442,25.97521,36.20335
SEPTIN7,-0.031860128,0.797761362,0.925284228,154.8565,193.3642
ZDHHC4,-0.396302964,0.227471293,0.548010161,27.51509,28.29402
RAC1,-0.064889608,0.611872659,0.839935086,142.5755,187.5675
NUP214,-0.650072657,0.020765695,0.143989588,76.98233,58.4801
CPA3,1.112200123,0.027954471,0.174306315,71.60232,12.98286
LTBP1,0.799363212,0.077499163,0.316243598,31.60663,29.46786
UGP2,0.118948983,0.594742057,0.830803007,112.36356,55.48546
TRMT1,-0.915460326,0.016965197,0.126547924,33.09904,38.0893
NACC1,0.378842749,0.351152855,0.671060692,51.54541,30.06844
NFIX,0.530985834,0.166120771,0.470863702,137.76924,53.13999
SLC1A5,0.257745464,0.207780522,0.526379917,114.65285,92.13648
UBA1,-0.307689049,0.245498063,0.568183765,101.2521,131.251
VWF,0.03716567,0.960658699,0.987659791,19.85394,14.59669
SIAE,0.261139915,0.409847431,0.715220031,44.84109,22.65288
ESAM,0.704781194,0.22899414,0.549345537,37.89818,26.52573
SPA17,0.10645584,0.864618557,0.950010199,18.182,12.7146
FAM50A,-0.210653417,0.26453475,0.58699296,30.59923,42.72932
EMD,-0.127408089,0.611204702,0.839515047,59.50579,38.11662
TACO1,-0.074770293,0.897514982,0.963147001,20.92414,22.39998
GRIA3,0.575920355,0.174216881,0.481316779,21.97598,16.10114
SIPA1L2,0.66852688,0.213296333,0.530829334,17.00018,13.53365
AP4E1,0.747305656,0.036903388,0.207260922,20.40693,20.17249
BLVRA,0.321054779,0.049732215,0.24596643,33.18317,35.28695
PDZD4,0.257931147,0.745376971,0.903069507,15.37395,5.84288
IDH3G,-0.0492651,0.867908475,0.951466391,167.7154,153.021
PNCK,-0.056436341,0.961570542,0.988064131,9.38998,7.130746
SSR4,0.215977751,0.271764435,0.594988543,232.3702,146.9794
BCAP31,0.139215457,0.431999191,0.733363476,143.4291,152.2676
FAM98A,-0.35344584,0.206904277,0.525125672,93.52688,54.19076
LTBP2,0.513142395,0.427297549,0.729813213,40.07263,28.64369
KMT2A,0.106539456,0.64524542,0.855641286,398.1588,384.0719
IFT46,0.196303099,0.510723072,0.783883064,25.34318,21.70006
CD3G,-0.232717129,0.070357744,0.299752705,355.7974,395.2823
TRAPPC6A,-0.13452095,0.514821026,0.786318681,41.49772,46.14355
SUPT6,0.04247313,0.860499914,0.948419186,54.05076,48.3091
SPAG5,-2.401628614,0.000339688,0.007752903,38.20704,48.11607
FOXN1,0.044970634,0.915021034,0.968747519,39.01185,40.38557
UNC119,0.450883481,0.287980728,0.611166204,37.22195,17.2355
RAB34,0.204591994,0.638787196,0.853615378,27.72158,52.96644
SDF2,0.053323159,0.790516569,0.922495187,108.90548,50.78743
CCNE1,-2.539046319,1.45815E-07,1.03304E-05,12.85751,35.00001
BBC3,-0.245670248,0.385791364,0.697830539,31.83108,25.20183
MYBPC3,1.545969861,0.581873296,0.823128858,21.193645,7.268068
PSMC3,-0.345787916,0.028629692,0.177035976,98.98797,139.54955
ACP2,-0.227563819,0.3521147,0.671731159,30.76248,48.71677
RAPSN,0.424297885,0.629461735,0.848446297,11.99908,7.467714
SLC39A13,-0.023137497,0.939753946,0.980522959,29.6218,41.13183
CELF2,0.228447608,0.182851191,0.491437176,493.4864,444.0082
NR1H3,1.283606311,0.000235543,0.00598684,45.44348,20.40935
DDB2,0.3735991,0.323986282,0.647184265,34.78494,30.4459
SPI1,0.538001294,0.044143428,0.229344172,15.56638,12.06602
SF3A1,-0.381290947,0.102677795,0.370164916,61.69187,52.1812
STAT6,0.244723651,0.290413269,0.613878839,66.73785,68.36836
NAPSA,-0.277909062,0.491981933,0.773112602,21.21729,13.45131
VRK3,-0.738211239,0.005217337,0.058431939,32.22603,37.38302
SMG9,0.177149539,0.571470269,0.818046954,39.55516,25.97912
PAXIP1,0.134195755,0.723774432,0.89511419,80.69985,73.3961
RMND5A,-0.158834868,0.350294882,0.670541141,550.4318,588.9005
MOV10,0.352246578,0.61980927,0.843270225,21.78675,10.2404
PPM1J,1.581386767,0.246088267,0.568985654,17.03444,4.79938
RHOC,0.146304371,0.71417729,0.891539221,22.06455,21.45689
TEAD3,0.668056134,0.44482232,0.740636614,12.5729,4.706734
PPARD|1810013A23RIK,-0.021561641,0.959474685,0.98741259,27.88059,31.68838
DEF6,-0.211660893,0.385603558,0.697794897,98.96323,91.13168
PEG3,1.133919633,0.096271336,0.356348643,31.65357,12.56921
METRN,-1.381894536,2.80916E-07,1.88768E-05,18.33957,19.17235
LMF1,-0.116207472,0.821514162,0.93497472,24.91332,20.51469
CIAO3,-0.043889572,0.90533304,0.965050218,53.91765,49.8038
ANGPTL4,0.193570019,0.674137388,0.871447249,80.74991,126.78679
DBF4,-0.653120354,0.000424485,0.009217967,17.42324,49.70822
DAXX,-1.011807639,0.001399975,0.022380111,38.42711,52.21306
CD320,0.304956338,0.533408187,0.797415553,45.07817,34.97765
IPO4,-0.708126409,0.390340237,0.700922221,30.45635,24.10311
TM9SF1,0.347817666,0.169646776,0.476539114,35.69169,22.02039
IRF9,0.59634668,0.016021806,0.121773502,63.22314,21.55141
GMPR2,-0.047282412,0.901923814,0.964182791,33.31671,13.92423
MDP1,-0.109517118,0.562311404,0.813613312,68.78818,40.32395
DHRS1,-0.130180665,0.578378543,0.82155682,23.51404,20.97382
TMEM161A,-0.259197992,0.473281077,0.760458623,25.67432,17.12695
ARMC6,0.281580732,0.55787207,0.81161522,17.06692,11.70355
BORCS8,-0.242040295,0.347642066,0.66892366,61.66576,83.27883
SLC25A42,0.070456399,0.901886276,0.964182791,29.95574,23.23555
SNX9,0.612763527,0.07699535,0.315766387,49.30529,14.41239
RANBP3,0.243370918,0.290523936,0.613946991,84.83232,54.48282
NDUFA11,0.106485348,0.586685066,0.82631227,528.9357,311.3088
NR2F6,1.008341263,0.002381043,0.033285699,59.75111,35.41271
USE1,-0.217417828,0.189707485,0.501103736,113.8328,124.8906
OCEL1,-0.199329537,0.629544852,0.848446297,37.10974,41.06886
DYRK1B,-1.061933612,0.000114829,0.003446723,26.39049,21.06795
BRAF,0.371635785,0.141334403,0.43584605,96.19567,49.58281
NDUFB2,0.157172309,0.515951727,0.78658775,408.6466,653.2806
HLTF,0.265845464,0.198321005,0.51383617,176.90516,61.26234
PRPF6,-0.51523502,0.082664158,0.327400054,69.63291,88.73472
RGS19,-0.156507875,0.478872567,0.763747354,44.83836,29.82092
SNRPD1,-0.884620834,4.00263E-11,5.4495E-09,88.96177,142.35742
TCHP,-0.261885221,0.55998404,0.81311042,45.21029,37.90039
TIAM1,0.130859643,0.784579968,0.920282191,59.10558,33.72708
TSC2,-0.040061754,0.924475152,0.973468791,41.26327,16.95003
SLC9A3R2,0.256978132,0.662010781,0.865786339,36.75905,45.9698
PUF60,-0.282679276,0.094238095,0.351909331,105.52621,85.84891
GOLGA2,-0.167126262,0.644616228,0.855485671,19.58019,21.62149
UCK1,0.072570102,0.80179493,0.926583124,66.49421,44.80679
SCIN,-0.634000328,0.209038278,0.527176138,9.574726,10.683387
IKZF4,-0.523960008,0.482171217,0.765809976,17.53321,14.02437
MIEN1,-0.106459363,0.463254062,0.75326294,136.0003,113.0638
PON1,0.60997855,0.510229883,0.78335647,29.90988,17.15964
AXL,0.572760314,0.023682956,0.157253626,43.49027,34.10113
TGFB1,-0.00312194,0.991061918,0.997653098,32.74369,20.02798
CCDC97,-0.323353438,0.453838504,0.747187115,28.54119,26.51656
ZFP40,0.869044499,0.051561628,0.251573829,40.72936,24.3408
AKAP8L,-0.175160863,0.353473974,0.672459539,65.51997,71.34067
PDCD2L,-0.899247592,0.009089422,0.084686621,38.9464,26.25707
GTF2F1,-0.59719844,0.049640737,0.245767338,42.25857,61.88467
CLPP,0.162471015,0.488079533,0.769495645,100.883,61.42808
ALKBH7,0.412181313,0.14166429,0.436449783,77.76295,52.65356
DENND1C,0.663438691,0.006346997,0.066382725,85.29079,41.35695
MED6,-0.006164276,0.982676292,0.995047478,40.80324,20.20957
PRKD1,1.248218813,0.278434915,0.601256003,21.813285,6.568612
LCP2,-0.138823332,0.514738284,0.786318681,144.8758,159.8905
CSE1L,-0.333341755,0.221648485,0.540491244,53.69254,71.59025
NAA20,0.006321034,0.977862254,0.993556057,85.68706,58.67732
PRKRA,0.822128554,0.080617252,0.322736977,17.68863,18.10663
FKBP7,0.686220854,0.087256588,0.337827994,29.87361,16.95281
PLEKHA3,0.40851062,0.253860701,0.576418076,52.54808,25.66409
YKT6,-0.51618884,0.018988275,0.136188464,44.88173,36.35837
BAZ1B,-0.059842716,0.74424213,0.902392862,159.5971,148.989
PEX6,0.335965444,0.104802219,0.374461056,40.79252,27.18511
MRPL2,0.086964675,0.734103672,0.898852392,103.1062,35.5716
MEA1,-0.114514718,0.616539959,0.84154474,89.807,95.80666
GNMT,2.685629472,0.129381257,0.416815298,9.2455,3.009304
KDELR1,0.141141113,0.575287625,0.819663149,116.55925,46.10239
TMEM143,-0.546474126,0.282294687,0.605215431,20.98537,59.18895
GGCT,0.417804599,0.360842817,0.678155802,28.846148,9.534169
JAG2,0.558549527,0.064786391,0.286057677,24.82065,23.31517
BTBD6,0.362832112,0.490017095,0.771230163,25.18934,11.97649
NUDT14,0.093271751,0.761670732,0.910272395,69.25339,31.53811
FLII,-0.632127452,0.058952822,0.27219827,90.41471,131.26785
TOP3A,1.276871941,0.000807643,0.014841858,58.42977,11.64218
ATG4D,0.25534571,0.320912344,0.644417669,68.54222,34.20867
QTRT1,-0.128508178,0.826895726,0.936043934,40.33689,30.78505
PLIN4,-0.229735813,0.793542883,0.923586339,38.49023,53.06665
HDGFL2,-0.768114521,0.065066418,0.286808816,34.41918,34.92874
CHAF1A,-2.368514342,9.52765E-08,7.17185E-06,10.31299,36.0253
ADPRH,-0.712672732,0.00427857,0.049992215,70.62741,130.92953
TMEM39A,-0.137678257,0.654760623,0.861001242,23.63014,22.57424
TIMMDC1,0.197680375,0.571484117,0.818046954,78.87684,51.09337
PLA1A,-0.060119887,0.918709041,0.970091474,12.25392,11.44598
MCM2,-0.774136626,0.001880468,0.027853793,48.79281,121.18031
TPRA1,-0.036299856,0.869878844,0.95246844,42.21049,30.91218
NAB1,0.510303088,0.003013955,0.038871088,62.60393,50.16018
ADGRE5,-0.363706154,0.023870162,0.157864817,34.69813,62.10528
IL17RA,0.104332383,0.596265756,0.831378886,122.8311,87.1469
LAMB1,0.513842028,0.161768987,0.465641306,62.77094,36.08686
ARRDC2,0.499493847,0.404485763,0.711799965,11.363511,7.987903
CD36,0.923799162,0.104884367,0.374498182,1011.3971,685.3328
MAP2K7,-0.441374489,0.056012453,0.263517721,48.17746,30.89152
TIMM44,0.346751922,0.137889535,0.42989575,87.51504,40.4772
AP2A2,0.417218749,0.101004297,0.366834675,144.2066,86.38519
PNKP,-0.365492978,0.220645755,0.539685017,40.52898,44.37498
MED25,-0.338878491,0.122296912,0.405506725,20.56704,36.75139
BCAM,0.123547089,0.781232524,0.918575971,18.14199,23.69016
CLPTM1,0.025359888,0.892098101,0.961114375,87.20764,138.66859
RELB,0.177488914,0.581376496,0.822872156,29.13204,24.93232
TOMM40,-0.18163593,0.444457684,0.740416441,116.88358,84.74898
APOE,0.954728695,1.12612E-06,6.65347E-05,494.8682,768.1587
